ID,Inertia,Proactive,Flexibility
824,-0.51,-0.39,0.12
826,0.30,-0.61,-0.38
827,-0.20,0.16,0.10
828,-0.30,-0.54,-0.10
829,0.19,-0.58,-0.35
830,-0.27,0.14,0.15
831,0.77,-0.45,-0.31
832,0.42,-0.16,-0.20
833,-0.06,-0.01,-0.07
834,-0.51,-0.05,0.32
835,0.34,0.09,0.24
836,0.48,0.53,-0.02
837,0.35,-0.36,-0.10
838,-0.43,-0.72,-0.10
839,-0.38,0.34,0.10
840,-0.31,0.14,0.18
841,0.28,-0.47,-0.03
843,-0.08,-0.08,-0.07
844,0.11,-0.06,0.02
846,-0.62,0.37,0.29
847,0.35,-0.15,-0.12
848,-0.19,-0.30,-0.13
849,0.34,-0.05,0.17
850,0.06,-0.67,-0.38
852,-0.31,0.17,0.16
853,0.49,-0.69,-0.26
855,0.11,-0.04,0.02
856,0.64,-0.08,0.39
858,0.95,0.56,0.13
859,-0.12,-0.68,-0.25
860,-0.25,0.10,0.13
862,-0.44,-0.39,0.12
863,-0.54,-0.32,-0.02
864,0.30,-0.72,-0.32
865,-0.44,-0.45,0.14
866,0.66,0.12,-0.16
869,0.66,-0.16,0.00
870,-0.15,-0.82,-0.57
871,0.36,-0.31,-0.18
873,-0.44,-0.25,0.03
874,-0.33,-0.09,0.07
875,-0.44,0.11,-0.05
876,-0.31,0.20,-0.49
877,-0.20,-0.32,0.12
879,-0.06,-0.08,-0.08
880,-0.68,-0.05,0.12
882,-0.25,-0.22,0.26
883,-0.18,0.02,-0.49
884,-0.61,0.20,-0.08
885,-0.20,-0.25,0.21
886,0.78,-0.12,-0.40
887,0.25,-0.21,-0.18
888,0.00,-0.07,-0.02
889,0.30,-0.18,0.10
890,-0.60,0.17,-0.26
891,0.41,0.36,0.24
892,0.11,0.12,0.02
893,-0.06,-0.61,-0.14
894,-0.44,-0.12,-0.38
895,-0.12,-0.82,-0.17
896,-0.07,-0.31,0.02
897,-0.08,0.14,0.38
899,0.53,0.10,-0.09
901,-0.14,0.16,0.08
902,-0.44,-0.22,0.01
903,0.24,-0.06,0.02
904,-0.67,-0.43,-0.19
905,-0.27,-0.05,0.34
906,-1.16,0.36,0.00
907,-0.62,0.08,0.15
908,-0.64,0.18,0.27
909,-0.24,-0.20,-0.09
910,-0.26,-0.33,0.08
911,-0.07,0.51,-0.01
912,0.67,-0.65,-0.47
913,0.11,-0.14,0.11
914,0.65,-0.10,0.23
915,0.04,0.22,0.08
916,-0.98,-0.46,0.04
917,0.19,0.06,-0.42
919,-0.52,0.31,0.31
920,0.53,0.07,-0.32
921,-0.63,0.32,-0.04
922,-0.14,0.20,0.16
923,0.30,-0.52,-0.39
924,-0.12,0.20,-0.27
925,0.11,-0.33,-0.11
926,0.04,-0.25,0.20
929,0.31,-0.42,-0.13
931,0.35,0.04,0.07
932,-0.98,-0.41,-0.08
934,-0.13,-0.14,-0.09
935,0.35,0.33,0.04
936,0.34,0.52,0.04
937,-0.32,-0.46,-0.24
938,0.42,0.07,-0.32
939,-0.20,0.29,0.15
940,-0.73,0.11,-0.27
941,0.48,0.33,-0.65
942,-0.13,0.38,-0.05
943,-0.44,0.22,0.09
944,-0.13,-0.30,-0.13
945,0.34,0.36,0.24
946,-0.14,-0.11,0.33
947,0.48,0.10,-0.12
948,0.74,0.45,0.47
949,-0.54,-0.07,-0.07
950,-0.85,-0.42,-0.13
951,0.10,0.37,0.32
953,-0.07,-0.31,0.02
954,0.36,-0.58,-0.17
955,0.28,-0.40,0.02
956,-0.27,0.28,0.12
957,-0.12,0.36,-0.23
958,-0.34,-0.04,0.23
959,0.16,-0.10,0.22
960,-0.26,0.21,0.04
961,-0.26,-0.34,0.00
962,-0.57,-0.38,0.18
963,-0.08,0.16,0.30
964,0.49,-0.45,-0.13
965,-0.30,-0.26,-0.07
966,-0.62,0.17,0.17
967,-0.44,0.28,0.07
968,0.35,-0.35,-0.04
969,1.05,-1.17,-0.43
971,-0.44,-0.04,-0.04
972,-0.33,-0.53,0.20
973,0.52,0.33,0.04
975,-0.82,0.20,0.42
976,0.97,0.30,-0.18
977,-0.26,0.04,-0.13
978,0.65,0.15,0.24
979,0.52,-0.04,0.01
981,0.42,0.22,-0.33
982,0.28,0.19,0.13
984,0.49,0.09,-0.37
985,0.05,-0.35,-0.03
986,-0.54,-0.42,-0.59
987,0.05,-0.13,-0.21
988,0.05,-0.32,-0.23
989,-0.68,0.13,0.12
990,-0.64,-0.12,0.30
992,-0.33,-0.12,0.05
993,0.27,0.37,0.27
994,-0.92,-0.06,0.03
995,0.34,0.03,0.29
996,0.52,-0.27,0.11
998,0.18,-0.22,0.00
999,-0.67,0.18,-0.16
1000,-0.43,-0.01,-0.01
1001,0.31,-0.03,-0.16
1002,-0.04,0.38,0.36
1003,-0.33,-0.32,0.17
1004,-0.19,-0.35,-0.26
1005,-0.67,0.24,-0.23
1006,-0.62,0.31,0.08
1007,0.06,0.16,0.10
1008,-0.20,-0.29,-0.02
1009,0.49,0.11,-0.25
1010,-0.15,0.11,-0.05
1012,0.04,0.15,0.02
1014,-0.55,0.39,-0.04
1016,0.19,-0.04,-0.28
1017,-0.19,0.08,-0.03
1018,0.18,0.23,-0.23
1019,-0.14,0.18,0.26
1020,0.04,-0.39,0.06
1021,-0.61,0.21,0.02
1023,-0.12,-0.51,-0.31
1024,0.54,0.21,-0.39
1025,-0.62,-0.13,0.23
1026,0.77,-1.07,-0.17
1027,0.67,0.07,-0.30
1030,-0.30,0.02,-0.27
1031,-0.02,-0.48,-0.13
1032,0.05,-0.21,-0.18
1033,-0.26,0.20,-0.07
1034,-0.32,0.29,-0.28
1035,0.41,-0.05,0.14
1038,-0.11,-0.53,-0.44
1039,-0.13,0.10,-0.10
1040,-1.14,-1.16,-0.39
1041,-0.34,0.31,0.28
1042,0.48,-0.07,0.04
1043,0.82,-0.08,0.13
1044,0.28,-0.19,0.03
1046,0.48,-0.33,0.08
1047,-0.44,0.20,-0.06
1050,-0.07,-0.03,0.05
1051,0.34,-0.14,0.13
1052,0.35,-0.23,-0.05
1053,-0.06,0.02,-0.27
1055,-1.16,-0.16,-0.02
1056,0.28,0.12,0.24
1057,0.19,-0.02,-0.30
1058,-0.43,0.35,-0.27
1060,0.36,-0.02,-0.35
1061,0.29,0.74,-0.29
1063,-0.67,-0.27,-0.19
1065,-0.01,-0.44,0.18
1066,0.15,-0.27,0.12
1067,-0.80,-0.09,-0.17
1068,-0.26,0.01,-0.12
1069,-0.50,-0.42,-0.11
1070,-0.27,-0.31,0.20
1071,-0.26,-0.17,-0.11
1072,-1.16,0.20,-0.02
1073,-0.86,-0.06,0.07
1074,0.59,0.19,-0.14
1075,-0.01,0.40,0.28
1076,-0.07,-0.05,0.15
1077,-0.14,0.17,0.18
1079,0.06,-0.27,-0.35
1080,-0.02,-0.27,-0.10
1081,-0.27,0.19,0.11
1082,0.53,-0.05,-0.06
1083,0.28,-0.55,0.01
1084,-0.43,0.31,-0.17
1086,0.36,-0.23,-0.29
1087,0.66,0.12,-0.15
1088,0.47,0.34,0.11
1089,0.55,-0.07,-0.01
1090,0.05,-0.37,-0.22
1092,-0.39,0.57,0.43
1093,0.82,0.13,0.31
1094,0.01,0.07,-0.32
1095,-1.00,0.39,0.40
1096,-0.17,0.46,0.52
1097,0.34,0.35,0.17
1098,0.10,0.04,0.16
1099,-0.24,0.27,-0.01
1100,0.90,0.18,-0.17
1102,0.41,-0.01,-0.03
1105,0.45,0.28,0.31
1106,-0.27,-0.06,0.23
1107,0.29,0.07,-0.29
1108,-0.26,0.33,0.00
1109,-0.14,0.35,0.15
1110,-0.02,-0.73,0.02
1111,-0.20,0.33,0.00
1112,0.05,0.49,-0.16
1113,0.34,0.15,0.27
1116,-0.27,0.31,0.10
1117,-0.42,0.35,-0.32
1118,0.66,0.39,-0.02
1120,0.43,-0.11,-0.32
1121,-0.26,-0.23,-0.04
1122,-0.28,-0.02,0.54
1124,-0.15,0.41,0.59
